user_input,system_prompt_id
"""I'm planning a trip to Tokyo and I want to write a polite email to my host family. Can you help me translate 'I'll be arriving around 5 pm tomorrow' into Japanese? Maybe you can also suggest some phrases for introducing myself when we meet?""",1
"""Please translate the following phrase from Japanese: 'Yuki wa sakari no kokyuu o kanjiru.' I'm writing an article about winter sports and need it translated accurately.""",1
"""I'm planning a trip to Japan and I'd like to know how to say 'I'm feeling under the weather' in Japanese, as well as some common phrases for getting sick abroad.""",1
"""I'm planning a business trip to Japan and need help with some basic phrases in Japanese. Could you translate 'I'm looking forward to meeting you' into formal Japanese for a conference presentation?""",1
"""Hello, I need you to translate this phrase from Japanese: 'Kare wa kōi de yūwaku o sakaseta.' The context is a formal business meeting.""",1
"I'm writing an email to my Korean business partner and I want to convey that we're making good progress on the project, but there's still some work to be done before it's completed. Can you translate ""we've got this 90% done"" into proper formal language? Perhaps something similar to what a Korean executive might say in a meeting?",1
"""I'm trying to understand the nuances of the phrase 'saving face' in Mandarin Chinese, but I've read different interpretations online and want clarification on its implications for social hierarchy and relationships.""",1
"""I'm planning a trip to Tokyo next month and want to know how to greet locals politely. Can you translate 'konnichiwa' and explain any cultural differences between using it and 'ohayou gozaimasu'?""",1
"""Hello, I'm trying to understand the nuances behind the Japanese phrase 'Honne' versus 'Tatemae'. Can you explain the difference in behavior and social implications?""",1
"""I'm planning a trip to Japan and want to learn some basic phrases for my visit. Can you translate 'konnichiwa' into English? What's the difference between saying it in the morning versus at night?""",1
"""I've been invited to a Japanese wedding and I want to RSVP politely, but I'm not sure what 'mairi' means in the invitation.""",1
"""I'm planning a trip to Japan and want to learn some basic phrases in Kanji for my hotel reservation. Can you translate 'O genki desu ka?' into English?""",1
"""I'm planning a trip to Japan and I want to order some takeout at a restaurant in Tokyo. Can you help me with the phrase for 'I'll have a bowl of noodles, but without the pork'? And also what's the polite way to say 'the bill please'?""",1
"""I'm planning a trip to Japan and want to learn some basic phrases for the train stations. Can you translate 'kikaku desu' into English?""",1
"""I'm planning a business trip to Tokyo and I want to know how to politely decline an invitation for dinner from a new client. Can you help me translate 'I have a prior commitment' into Japanese?""",1
"""I'm attending a business meeting with Japanese clients next week and I want to make sure I understand their concerns about 'honne' vs 'tatemae'. Can you explain the difference in English?""",1
"""Hello, I'm planning a trip to Japan and want to know if it's customary to tip at restaurants or bars. Can you tell me what are some common phrases to use when paying the bill?""",1
"""Hi, I'm planning a business trip to Tokyo next month and want to make sure I understand the local customs and etiquette for meetings. What does it mean when a Japanese colleague says 'Hai, wakarimashita' at the end of our discussion?""",1
"""Can you translate 'Konnichiwa, o-genki desu ka?' from Japanese into English? I'm planning a business trip to Tokyo and want to know what my clients will be saying.""",1
"""I've been invited to a Japanese tea ceremony and I want to express my gratitude to the host. Can you translate the phrase 'arigatou gozaimasu' into English?""",1
"""I'm planning a trip to Japan and was wondering if I can still enjoy a proper 'onsen' experience despite being a foreigner? I've heard some ryokans have private baths for guests, is that true?""",1
"""I'm trying to understand a Japanese restaurant's menu, but I don't speak any Japanese. Can you translate 'Tonkatsu Teishoku' for me?""",1
"""Hi, I need help translating this Japanese phrase from my business card: 'Kizuna o motsu hito'. What's its English equivalent and is it suitable for a formal setting?""",1
"""I'm planning a trip to Japan for cherry blossom season and was wondering if I can buy traditional yukata clothing at any department stores or online marketplaces?""",1
"""I'm planning a trip to Japan and I'd like to learn some basic phrases for restaurant ordering. Can you translate 'I'll have the tonkatsu set, but can I substitute the miso soup with rice?' into Japanese? I've also heard that saying """" (gomen nasai) is polite to use when making mistakes in a conversation.""",1
"""Can you translate 'falling leaves are rustling' from Japanese into English? I'm writing an article about autumn and want it to sound natural.""",1
"""Hi, I'm planning a trip to Japan and want to know what 'honne' and 'tatemae' mean in Japanese culture. Can you explain their significance? My friend mentioned they're related to honesty.""",1
"""I'm planning a trip to Japan and I want to learn some basic phrases in Japanese. Can you translate 'good luck' and 'be careful' for me?""",1
"""I'm trying to write an email to my client in Japan and I want to express appreciation for their business. Can you translate 'it's been a pleasure working with them' into Japanese while also being mindful of cultural etiquette?""",1
"""I'm planning a trip to Tokyo and want to understand the phrase 'honne' vs 'tatemae'. Can you help me figure out what's behind these two words?""",1
"""I'm having trouble understanding what 'killing two birds with one stone' means in this business article from Japan. Can you explain it?""",1
"""I'm planning a trip to Japan and want to know if the 'tsundere' personality type is common among women in Tokyo. Can you explain what it means and give me some examples of how it manifests in everyday life?""",1
"""I'm planning a trip to Japan and I want to know if the 'tsuyu' seasoning at the local ramen shop is similar to the 'soy sauce' we use here in the States. Can you explain the difference?""",1
"""I'm planning a trip to Japan for the cherry blossom festival and I want to learn some basic phrases in Japanese. Can you translate 'I love your traditional clothing' into Japanese? Also, what does it mean when the locals say 'Yukata is my summer soulmate'? """,1
"""Can you translate 'It's raining cats and dogs outside' from English into Spanish, please? I want to use it in a marketing brochure for a children's event.""",1
"""I'm planning a business trip to Tokyo next week and I'd like to know if there's any specific etiquette I should be aware of when visiting a traditional Japanese onsen (hot spring) - for example, are there any particular customs around bathing attire?""",1
